dataset_ref,name,display,concept_type,concept_path,parent_concept_path,values,description,stigmatized
phs003824,,,Categorical,\\phs003824\\,,,,false
phs003824,,,Categorical,\\phs003824\\subjects\\,\\phs003824\\,,,false
phs003824,,,Categorical,\\phs003824\\Imaging_WHI\\,\\phs003824\\,,,false
phs003824,,,Categorical,\\phs003824\\QTRGGR_VISIT3\\,\\phs003824\\,"[""124""]",,false
phs003824,,,Continuous,\\phs003824\\ROOMID_VISIT1\\,\\phs003824\\,"[0.0,4.9E-324]",,false
phs003824,,,Continuous,\\phs003824\\ROOMID_VISIT3\\,\\phs003824\\,"[0.0,4.9E-324]",,false
phs003824,,,Continuous,\\phs003824\\ROOMID_VISIT6\\,\\phs003824\\,"[0.0,4.9E-324]",,false
phs003824,,,Continuous,\\phs003824\\ROOMID_VISIT9\\,\\phs003824\\,"[0.0,4.9E-324]",,false
phs003824,,,Categorical,\\phs003824\\EDITDATE_VISIT1\\,\\phs003824\\,"[""01-01-1900""]",,false
phs003824,,,Categorical,\\phs003824\\EDITDATE_VISIT6\\,\\phs003824\\,"[""01-01-1900""]",,false
phs003824,,,Continuous,\\phs003824\\EDITORID_VISIT1\\,\\phs003824\\,"[1.0,1.0]",,false
phs003824,,,Continuous,\\phs003824\\EDITORID_VISIT3\\,\\phs003824\\,"[0.0,1.0]",,false
phs003824,,,Continuous,\\phs003824\\EDITORID_VISIT6\\,\\phs003824\\,"[0.0,1.0]",,false
phs003824,,,Continuous,\\phs003824\\EDITORID_VISIT9\\,\\phs003824\\,"[0.0,4.9E-324]",,false
phs003824,,,Categorical,\\phs003824\\EDITTIME_VISIT1\\,\\phs003824\\,"[""00:00:00""]",,false
phs003824,,,Categorical,\\phs003824\\EDITTIME_VISIT6\\,\\phs003824\\,"[""00:00:00""]",,false
phs003824,,,Categorical,\\phs003824\\GLOBALRR_VISIT3\\,\\phs003824\\,"[""210"",""239""]",,false
phs003824,,,Continuous,\\phs003824\\DBGAP_SUBJECT_ID\\,\\phs003824\\,"[5346291.0,5414269.0]",,false
phs003824,,,Categorical,\\phs003824\\subjects\\consent\\,\\phs003824\\subjects\\,,,false
phs003824,,,Continuous,\\phs003824\\PATIENTAGE_VISIT3\\,\\phs003824\\,"[99.0,99.0]",,false
phs003824,,,Continuous,\\phs003824\\PATIENTAGE_VISIT6\\,\\phs003824\\,"[99.0,99.0]",,false
phs003824,,,Continuous,\\phs003824\\PATIENTAGE_VISIT9\\,\\phs003824\\,"[99.0,99.0]",,false
phs003824,,,Continuous,\\phs003824\\OPTIONNUMBER_VISIT1\\,\\phs003824\\,"[0.0,6.0]",,false
phs003824,,,Categorical,\\phs003824\\OPTIONNUMBER_VISIT3\\,\\phs003824\\,"[""FALSE"",""TRUE""]",,false
phs003824,,,Categorical,\\phs003824\\OPTIONNUMBER_VISIT6\\,\\phs003824\\,"[""FALSE"",""TRUE""]",,false
phs003824,,,Continuous,\\phs003824\\OVERREADERID_VISIT1\\,\\phs003824\\,"[9.0,9.0]",,false
phs003824,,,Continuous,\\phs003824\\OVERREADERID_VISIT3\\,\\phs003824\\,"[104.0,2200.0]",,false
phs003824,,,Continuous,\\phs003824\\OVERREADERID_VISIT6\\,\\phs003824\\,"[9.0,2218.0]",,false
phs003824,,,Categorical,\\phs003824\\subjects\\subject_id\\,\\phs003824\\subjects\\,,,false
phs003824,,,Categorical,\\phs003824\\SAMPLEEXPONENT_VISIT1\\,\\phs003824\\,"[""FALSE""]",,false
phs003824,,,Continuous,\\phs003824\\ACQUISITIONTECHID_VISIT1\\,\\phs003824\\,"[102.0,219.0]",,false
phs003824,,,Continuous,\\phs003824\\ACQUISITIONTECHID_VISIT3\\,\\phs003824\\,"[1.0,314.0]",,false
phs003824,,,Continuous,\\phs003824\\ACQUISITIONTECHID_VISIT6\\,\\phs003824\\,"[2.0,999.0]",,false
phs003824,,,Continuous,\\phs003824\\ACQUISITIONTECHID_VISIT9\\,\\phs003824\\,"[11.0,389.0]",,false
phs003824,,,Categorical,\\phs003824\\Imaging_WHI\\phs003824.ID\\,\\phs003824\\Imaging_WHI\\,,,false
phs003824,,,Categorical,\\phs003824\\WAVEFORMSTARTTIME_VISIT1\\,\\phs003824\\,"[""FALSE""]",,false
phs003824,,,Categorical,\\phs003824\\subjects\\consent\\CONSENT\\,\\phs003824\\subjects\\consent\\,"[""Health/Medical/Biomedical (HMB)"",""Health/Medical/Biomedical (NPU) (HMB-NPU)""]",,false
phs003824,,,Categorical,\\phs003824\\Imaging_WHI\\phs003824.Visit1\\,\\phs003824\\Imaging_WHI\\,,,false
phs003824,,,Categorical,\\phs003824\\Imaging_WHI\\phs003824.Visit3\\,\\phs003824\\Imaging_WHI\\,,,false
phs003824,,,Categorical,\\phs003824\\Imaging_WHI\\phs003824.Visit6\\,\\phs003824\\Imaging_WHI\\,,,false
phs003824,,,Categorical,\\phs003824\\Imaging_WHI\\phs003824.Visit9\\,\\phs003824\\Imaging_WHI\\,,,false
phs003824,,,Continuous,\\phs003824\\subjects\\subject_id\\PATIENTID\\,\\phs003824\\subjects\\subject_id\\,"[500001.0,699991.0]",,false
phs003824,,,Categorical,\\phs003824\\INTERVALMEASUREMENTMODE_VISIT3\\,\\phs003824\\,"[""Medians""]",,false
phs003824,,,Categorical,\\phs003824\\AMPLITUDEMEASUREMENTMODE_VISIT3\\,\\phs003824\\,"[""Median""]",,false
phs003824,,,Categorical,\\phs003824\\INTERVALMEASUREMENTFILTER_VISIT3\\,\\phs003824\\,"[""NONE""]",,false
